"","weight.X","weight.score.100"
"1","KL",2.16
"2","CH",0
"3","Hartigan",1.21
"4","CCC",0
"5","Scott",1.28
"6","Marriot",0.81
"7","TrCovW",0.81
"8","TraceW",0.81
"9","Friedman",0.4
"10","Rubin",1.07
"11","Cindex",0
"12","DB",1.46
"13","Silhouette",1.46
"14","Duda",3.48
"15","PseudoT2",2.81
"16","Beale",2.27
"17","Ratkowsky",0.39
"18","Ball",0.81
"19","PtBiserial",0.39
"20","Gap",2
"21","Frey",NA
"22","McClain",0.39
"23","Gamma",0
"24","Gplus",0
"25","Tau",0.39
"26","Dunn",0
"27","Hubert",0
"28","SDindex",0
"29","Dindex",0
"30","SDbw",0
